total_violent_crime,household_income
1388,39263
382,42914
9925,61877
2751,48755
268,44885
2585,43590
1712,59718
1186,44195
919,36473
4673,56494
440,36022
1530,41964
1110,36964
1105,62351
4308,53972
445,28645
18660,63920
3308,40471
1520,48900
261,31539
1084,72489
670,35792
1177,42676
186,45519
3631,49846
190,37327
113,65750
4126,37474
989,35742
539,43775
1428,47964
1180,24927
197,41332
4451,43120
1149,36542
1692,43183
405,43010
31,37607
2816,58017
829,40965
282,38440
194,33198
762,38245
678,50695
10583,54923
5237,40052
57,36815
3756,48066
57,45464
2388,38904
17907,33179
3498,55609
1157,48953
1373,38659
194,42660
397,38443
2205,47233
641,47133
441,42383
4639,84570
6487,63512
228,35070
532,40140
763,46513
712,47894
4086,46429
2455,42992
2193,55177
589,43014
1809,37868
4131,57535
2174,42268
761,62067
83,32372
170,38344
379,33033
5159,50705
684,42152
522,29192
335,38173
193,39909
746,43290
400,47068
1118,42571
617,28401
501,34619
9825,58745
1595,42223
247,42426
73,33839
328,41875
5800,54090
8082,45202
322,50205
661,47214
374,55347
12619,85297
671,52698
249,53136
569,33652
891,40681
557,53951
921,42476
1308,27381
297,46216
1628,41252
398,34848
787,46107
202,36722
1438,42046
188,35334
1655,55723
489,38704
1243,51957
6376,55843
151,42566
561,51181
2007,46501
6610,46517
432,40554
10142,69829
298,35511
118,47960
3569,61227
3254,53424
3245,53515
1195,74751
2332,49935
290,38250
1193,34841
418,56854
233,44375
3913,44378
68,52415
256,52741
1702,37357
1899,43231
475,37788
387,42842
10,30284
1082,41670
1701,43962
75,39075
408,44502
114,52152
485,39581
5177,49435
1848,61412
636,35049
616,52578
501,42196
1072,42627
408,63918
31991,72764
656,42071
420,41551
2959,55864
361,49236
3329,44963
163,40760
212,44206
14505,42931
2908,56067
11515,46885
2336,52808
2382,43534
31,48674
948,46912
967,61597
483,43649
958,34888
126,48540
2259,46597
122,33547
5,39313
1148,50234
19,53021
1027,50835
367,46376
1251,51074
5105,46044
506,41297
4012,61231
1001,46004
38,47500
5064,50209
1066,50067
295,33333
3564,39115
616,46809
613,45206
802,43926
291,43205
444,34914
5563,40692
135,38634
2460,36812
1207,41425
175,47405
507,56875
2520,61194
39,39038
35,53018
1924,56454
1407,46217
999,54614
1971,38074
1576,39627
6539,53633
193,48187
2873,41730
795,43175
284,50349
941,50097
1645,41208
72,45734
224,40689
68,31679
774,41473
2927,44301
613,39140
481,37626
165,34319
140,32928
471,42156
5005,60485
45,46607
693,40478
447,39564
5,39479
20997,60445
171,41056
5818,51250
1267,44200
14258,61721
324,40580
63,42610
538,33872
641,37391
586,32668
251,42829
1384,43026
40,50000
2080,39963
1188,38048
213,35793
3,37974
386,34985
140,47466
4447,42105
1768,45418
338,44070
67,37743
635,48538
2841,54818
225,41713
213,44764
761,34733
135,39966
75,40802
1560,36372
521,39546
156,37667
1142,41191
1023,38981
316,50405
28795,82090
162,39206
909,40368
8231,62229
12674,58225
114,43958
347,36646
327,36311
37,27353
795,46320
264,43524
1228,44312
198,31109
193,39430
649,36236
2605,78345
783,44858
6522,51939
486,52027
386,36070
2034,58654
1047,43458
155,21865
1161,41940
3884,54551
9076,55210
2208,42860
24840,65594
7760,54974
299,47365
1768,47766
1232,37855
111,45284
114,47191
227,29897
229,28513
13,39375
256,44151
2627,45012
526,56618
53,42194
179,52885
822,41856
779,42668
273,36281
111,45865
354,42846
1109,43928
974,42939
8224,43124
173,45233
109,51793
4827,54845
77,43181
3805,58651
3456,58825
701,38688
862,44388
2162,52061
23138,68381
2049,47087
164,32175
544,35897
140,35237
4701,54930
173,48026
128,38650
620,36384
4597,54270
4111,44135
725,37965
759,58936
253,38917
90,51422
6324,57260
398,47967
2419,42405
4063,53693
34,48800
67,35017
245,61216
280,38406
490,47584
182,39635
6343,60097
5151,55925
472,32258
548,53265
1363,45853
1077,37260
3286,61958
638,44355
191,31848
117,40557
575,43861
627,30240
180,45205
682,51383
484,45992
508,45297
314,69301
115,44548
24,43357
584,33334
453,66288
638,29400
47,53586
385,35423
760,41759
253,47447
1243,56240
7077,109865
819,59226
727,39328
615,51398
206,44478
3711,51010
313,41108
6,41131
2984,53961
193,32908
1331,48158
56,50417
342,39714
2385,60350
444,39904
2521,57791
1058,39156
2783,48857
9,31867
100,51791
91,36857
151,45997
718,40670
623,49830
2603,50872
2421,52833
3362,54306
1128,43439
149,49487
213,43826
2151,37940
7,31215
280,37050
1431,40451
1201,50866
10941,84916
1267,57292
1399,49819
19559,98221
576,32637
799,36261
6403,60781
110,41410
130,48977
78,43292
1110,49440
437,49277
439,43690
3051,84790
1524,47667
606,46229
619,38016
269,41848
2755,45430
93,41826
129,51504
593,41739
955,35329
139,40655
35,43059
112,29727
445,47729
1339,58525
277,68078
702,49590
77,43424
641,47654
822,44596
250,32130
8503,61048
440,32292
13263,84526
582,38501
